DMS_id	UniProt_ID	taxon	source_organism	seq_len	n_single_mutants	cpu_tractable
RAD_ANTMA_Tsuboyama_2023_2CJJ	RAD_ANTMA	Eukaryote	Antirrhinum majus	54	774	yes
DN7A_SACS2_Tsuboyama_2023_1JIC	DN7A_SACS2	Prokaryote	Saccharolobus solfataricus	55	1008	yes
HCP_LAMBD_Tsuboyama_2023_2L6Q	HCP_LAMBD	Virus	Escherichia phage lambda (Bacteriophage 	55	1040	yes
ISDH_STAAW_Tsuboyama_2023_2LHR	ISDH_STAAW	Prokaryote	Staphylococcus aureus	55	940	yes
NUSG_MYCTU_Tsuboyama_2023_2MI6	NUSG_MYCTU	Prokaryote	Mycobacterium tuberculosis	55	1019	yes
RFAH_ECOLI_Tsuboyama_2023_2LCL	RFAH_ECOLI	Prokaryote	Escherichia coli	55	969	yes
SPA_STAAU_Tsuboyama_2023_1LP1	SPA_STAAU	Prokaryote	Staphylococcus aureus	55	1035	yes
SBI_STAAM_Tsuboyama_2023_2JVG	SBI_STAAM	Prokaryote	Staphylococcus aureus	56	1025	yes
SPG2_STRSG_Tsuboyama_2023_5UBS	SPG2_STRSG	Prokaryote	Streptococcus sp. group G	56	1029	yes
VRPI_BPT7_Tsuboyama_2023_2WNM	VRPI_BPT7	Virus	Escherichia phage T7 (Bacteriophage T7)	56	1047	yes
RCD1_ARATH_Tsuboyama_2023_5OAO	RCD1_ARATH	Eukaryote	Arabidopsis thaliana	57	988	yes
SOX30_HUMAN_Tsuboyama_2023_7JJK	SOX30_HUMAN	Human	Homo sapiens	57	1010	yes
UBR5_HUMAN_Tsuboyama_2023_1I2T	UBR5_HUMAN	Human	Homo sapiens	58	1094	yes
RL20_AQUAE_Tsuboyama_2023_1GYZ	RL20_AQUAE	Prokaryote	Aquifex aeolicus	59	1121	yes
TNKS2_HUMAN_Tsuboyama_2023_5JRT	TNKS2_HUMAN	Human	Homo sapiens	59	1118	yes
ENVZ_ECOLI_Ghose_2023	ENVZ_ECOLI	Prokaryote	Escherichia coli	60	1121	yes
SPTN1_CHICK_Tsuboyama_2023_1TUD	SPTN1_CHICK	Eukaryote	Gallus gallus	60	1051	yes
MYO3_YEAST_Tsuboyama_2023_2BTT	MYO3_YEAST	Eukaryote	Saccharomyces cerevisiae	61	947	yes
NKX31_HUMAN_Tsuboyama_2023_2L9R	NKX31_HUMAN	Human	Homo sapiens	61	1149	yes
RPC1_BP434_Tsuboyama_2023_1R69	RPC1_BP434	Virus	Enterobacteria phage 434 (Bacteriophage 	61	1124	yes
PR40A_HUMAN_Tsuboyama_2023_1UZC	PR40A_HUMAN	Human	Homo sapiens	63	1163	yes
RCRO_LAMBD_Tsuboyama_2023_1ORC	RCRO_LAMBD	Virus	Escherichia phage lambda (Bacteriophage 	63	1195	yes
RS15_GEOSE_Tsuboyama_2023_1A32	RS15_GEOSE	Prokaryote	Geobacillus stearothermophilus	63	1195	yes
BBC1_YEAST_Tsuboyama_2023_1TG0	BBC1_YEAST	Eukaryote	Saccharomyces cerevisiae	64	1084	yes
DNJA1_HUMAN_Tsuboyama_2023_2LO1	DNJA1_HUMAN	Human	Homo sapiens	65	1216	yes
OBSCN_HUMAN_Tsuboyama_2023_1V1C	OBSCN_HUMAN	Human	Homo sapiens	65	1213	yes
VILI_CHICK_Tsuboyama_2023_1YU5	VILI_CHICK	Eukaryote	Gallus gallus	65	1202	yes
DOCK1_MOUSE_Tsuboyama_2023_2M0Y	DOCK1_MOUSE	Eukaryote	Mus musculus	66	1213	yes
EPHB2_HUMAN_Tsuboyama_2023_1F0M	EPHB2_HUMAN	Human	Homo sapiens	66	1239	yes
MBD11_ARATH_Tsuboyama_2023_6ACV	MBD11_ARATH	Eukaryote	Arabidopsis thaliana	66	1155	yes
SRBS1_HUMAN_Tsuboyama_2023_2O2W	SRBS1_HUMAN	Human	Homo sapiens	67	1211	yes
PSAE_PICP2_Tsuboyama_2023_1PSE	PSAE_PICP2	Prokaryote	Picosynechococcus	68	1219	yes
ARGR_ECOLI_Tsuboyama_2023_1AOY	ARGR_ECOLI	Prokaryote	Escherichia coli	69	1287	yes
FKBP3_HUMAN_Tsuboyama_2023_2KFV	FKBP3_HUMAN	Human	Homo sapiens	69	1237	yes
NUSA_ECOLI_Tsuboyama_2023_1WCL	NUSA_ECOLI	Prokaryote	Escherichia coli	69	1306	yes
UBE4B_HUMAN_Tsuboyama_2023_3L1X	UBE4B_HUMAN	Human	Homo sapiens	69	1118	yes
SCIN_STAAR_Tsuboyama_2023_2QFF	SCIN_STAAR	Prokaryote	Staphylococcus aureus	70	1212	yes
ILF3_HUMAN_Tsuboyama_2023_2L33	ILF3_HUMAN	Human	Homo sapiens	71	1329	yes
PKN1_HUMAN_Tsuboyama_2023_1URF	PKN1_HUMAN	Human	Homo sapiens	71	1301	yes
CATR_CHLRE_Tsuboyama_2023_2AMI	CATR_CHLRE	Eukaryote	Chlamydomonas reinhardtii	72	1340	yes
CBPA2_HUMAN_Tsuboyama_2023_1O6X	CBPA2_HUMAN	Human	Homo sapiens	72	1357	yes
CSN4_MOUSE_Tsuboyama_2023_1UFM	CSN4_MOUSE	Eukaryote	Mus musculus	72	1353	yes
FECA_ECOLI_Tsuboyama_2023_2D1U	FECA_ECOLI	Prokaryote	Escherichia coli	72	1219	yes
HECD1_HUMAN_Tsuboyama_2023_3DKM	HECD1_HUMAN	Human	Homo sapiens	72	1244	yes
IF1_ECOLI_Kelsic_2016	IF1_ECOLI	Prokaryote	Escherichia coli	72	1367	yes
TAT_HV1BR_Fernandes_2016	TAT_HV1BR	Virus	Human immunodeficiency virus type 1 grou	86	1577	yes
A0A247D711_LISMN_Stadelmann_2021	A0A247D711_LISMN	Prokaryote	Listeria monocytogenes	87	1653	yes
F7YBW8_MESOW_Ding_2023	F7YBW8_MESOW	Prokaryote	Mesorhizobium opportunistum	93	80	yes
F7YBW8_MESOW_Aakre_2015	F7YBW8_MESOW	Prokaryote	Mesorhizobium opportunistum	93	37	yes
CCDB_ECOLI_Adkar_2012	CCDB_ECOLI	Prokaryote	Escherichia coli	101	1176	yes
CCDB_ECOLI_Tripathi_2016	CCDB_ECOLI	Prokaryote	Escherichia coli	101	1663	yes
SUMO1_HUMAN_Weile_2017	SUMO1_HUMAN	Human	Homo sapiens	101	1700	yes
REV_HV1H2_Fernandes_2016	REV_HV1H2	Virus	Human immunodeficiency virus type 1 grou	116	2147	yes
PHOT_CHLRE_Chen_2023	PHOT_CHLRE	Eukaryote	Chlamydomonas reinhardtii	118	2122	yes
RL40A_YEAST_Mavor_2016	RL40A_YEAST	Eukaryote	Saccharomyces cerevisiae	128	1253	yes
RL40A_YEAST_Roscoe_2013	RL40A_YEAST	Eukaryote	Saccharomyces cerevisiae	128	1195	yes
RL40A_YEAST_Roscoe_2014	RL40A_YEAST	Eukaryote	Saccharomyces cerevisiae	128	1380	yes
KCNE1_HUMAN_Muhammad_2023_expression	KCNE1_HUMAN	Human	Homo sapiens	129	2339	yes
KCNE1_HUMAN_Muhammad_2023_function	KCNE1_HUMAN	Human	Homo sapiens	129	2315	yes
SYUA_HUMAN_Newberry_2020	SYUA_HUMAN	Human	Homo sapiens	140	2497	yes
CALM1_HUMAN_Weile_2017	CALM1_HUMAN	Human	Homo sapiens	149	1813	yes
GLPA_HUMAN_Elazar_2016	GLPA_HUMAN	Human	Homo sapiens	150	245	yes
DYR_ECOLI_Nguyen_2023	DYR_ECOLI	Prokaryote	Escherichia coli	159	2916	yes
DYR_ECOLI_Thompson_2019	DYR_ECOLI	Prokaryote	Escherichia coli	159	2363	yes
UBC9_HUMAN_Weile_2017	UBC9_HUMAN	Human	Homo sapiens	159	2563	yes
A0A1I9GEU1_NEIME_Kennouche_2019	A0A1I9GEU1_NEIME	Prokaryote	Neisseria meningitidis	161	922	yes
VKOR1_HUMAN_Chiasson_2020_abundance	VKOR1_HUMAN	Human	Homo sapiens	163	2695	yes
VKOR1_HUMAN_Chiasson_2020_activity	VKOR1_HUMAN	Human	Homo sapiens	163	697	yes
NUD15_HUMAN_Suiter_2020	NUD15_HUMAN	Human	Homo sapiens	164	2844	yes
AACC1_PSEAI_Dandage_2018	AACC1_PSEAI	Prokaryote	Pseudomonas aeruginosa	177	1801	yes
RASK_HUMAN_Weng_2022_abundance	RASK_HUMAN	Human	Homo sapiens	188	3066	yes
RASK_HUMAN_Weng_2022_binding-DARPin_K55	RASK_HUMAN	Human	Homo sapiens	188	3084	yes
RASH_HUMAN_Bandaru_2017	RASH_HUMAN	Human	Homo sapiens	189	3134	yes
AICDA_HUMAN_Gajula_2014_3cycles	AICDA_HUMAN	Human	Homo sapiens	198	209	yes
B2L11_HUMAN_Dutta_2010_binding-Mcl-1	B2L11_HUMAN	Human	Homo sapiens	198	170	yes
MLAC_ECOLI_MacRae_2023	MLAC_ECOLI	Prokaryote	Escherichia coli	211	4007	yes
ESTA_BACSU_Nutschel_2020	ESTA_BACSU	Prokaryote	Bacillus subtilis	212	2172	yes
GRB2_HUMAN_Faure_2021	GRB2_HUMAN	Human	Homo sapiens	217	1034	yes
HIS7_YEAST_Pokusaeva_2019	HIS7_YEAST	Eukaryote	Saccharomyces cerevisiae	220	168	yes
Q6WV12_9MAXI_Somermeyer_2022	Q6WV12_9MAXI	Eukaryote	Pontellina plumata	222	1141	yes
RNC_ECOLI_Weeks_2023	RNC_ECOLI	Prokaryote	Escherichia coli	226	4277	yes
D7PM05_CLYGR_Somermeyer_2022	D7PM05_CLYGR	Eukaryote	Clytia gregaria	235	1169	yes
RPC1_LAMBD_Li_2019_high-expression	RPC1_LAMBD	Virus	Escherichia phage lambda (Bacteriophage 	237	351	yes
RPC1_LAMBD_Li_2019_low-expression	RPC1_LAMBD	Virus	Escherichia phage lambda (Bacteriophage 	237	351	yes
GFP_AEQVI_Sarkisyan_2016	GFP_AEQVI	Eukaryote	Aequorea victoria	238	1084	yes
Q8WTC7_9CNID_Somermeyer_2022	Q8WTC7_9CNID	Eukaryote	Aequorea macrodactyla	238	1201	yes
TPK1_HUMAN_Weile_2017	TPK1_HUMAN	Human	Homo sapiens	243	3181	yes
TPMT_HUMAN_Matreyek_2018	TPMT_HUMAN	Human	Homo sapiens	245	3648	yes
TRPC_SACS2_Chan_2017	TRPC_SACS2	Prokaryote	Thermus thermophilus	248	1519	yes
TRPC_THEMA_Chan_2017	TRPC_THEMA	Prokaryote	Thermus thermophilus	252	1519	yes
P84126_THETH_Chan_2017	P84126_THETH	Prokaryote	Thermus thermophilus	254	1519	yes
CASP3_HUMAN_Roychowdhury_2020	CASP3_HUMAN	Human	Homo sapiens	258	1567	yes
KKA2_KLEPN_Melnikov_2014	KKA2_KLEPN	Prokaryote	Klebsiella pneumoniae	264	4960	yes
A4GRB6_PSEAI_Chen_2020	A4GRB6_PSEAI	Prokaryote	Pseudomonas aeruginosa	266	5004	yes
CASP7_HUMAN_Roychowdhury_2020	CASP7_HUMAN	Human	Homo sapiens	281	1680	yes
GCN4_YEAST_Staller_2018	GCN4_YEAST	Eukaryote	Saccharomyces cerevisiae	281	33	yes
BLAT_ECOLX_Deng_2012	BLAT_ECOLX	Prokaryote	Escherichia coli	286	4996	yes
BLAT_ECOLX_Firnberg_2014	BLAT_ECOLX	Prokaryote	Escherichia coli	286	4783	yes
BLAT_ECOLX_Jacquier_2013	BLAT_ECOLX	Prokaryote	Escherichia coli	286	989	yes
BLAT_ECOLX_Stiffler_2015	BLAT_ECOLX	Prokaryote	Escherichia coli	286	4996	yes
MET_HUMAN_Estevam_2023	MET_HUMAN	Human	Homo sapiens	287	5393	yes
R1AB_SARS2_Flynn_2022	R1AB_SARS2	Virus	Severe acute respiratory syndrome corona	306	5725	yes
MTH3_HAEAE_RockahShmuel_2015	MTH3_HAEAE	Prokaryote	Haemophilus aegyptius	330	1777	yes
AMIE_PSEAE_Wrenbeck_2017	AMIE_PSEAE	Prokaryote	Pseudomonas aeruginosa	346	6227	yes
OPSD_HUMAN_Wan_2019	OPSD_HUMAN	Human	Homo sapiens	348	165	yes
CCR5_HUMAN_Gill_2023	CCR5_HUMAN	Human	Homo sapiens	352	6137	yes
OTC_HUMAN_Lo_2023	OTC_HUMAN	Human	Homo sapiens	354	1570	yes
MK01_HUMAN_Brenan_2016	MK01_HUMAN	Human	Homo sapiens	360	6809	yes
HEM3_HUMAN_Loggerenberg_2023	HEM3_HUMAN	Human	Homo sapiens	361	5689	yes
OXDA_RHOTO_Vanella_2023_activity	OXDA_RHOTO	Eukaryote	Rhodotorula gracilis	364	6396	yes
OXDA_RHOTO_Vanella_2023_expression	OXDA_RHOTO	Eukaryote	Rhodotorula gracilis	364	6769	yes
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR	Q53Z42_HUMAN	Human	Homo sapiens	365	3344	yes
Q53Z42_HUMAN_McShan_2019_expression	Q53Z42_HUMAN	Human	Homo sapiens	365	3344	yes
SERC_HUMAN_Xie_2023	SERC_HUMAN	Human	Homo sapiens	370	1914	yes
LYAM1_HUMAN_Elazar_2016	LYAM1_HUMAN	Human	Homo sapiens	372	359	yes
P53_HUMAN_Giacomelli_2018_Null_Etoposide	P53_HUMAN	Human	Homo sapiens	393	7467	yes
P53_HUMAN_Giacomelli_2018_Null_Nutlin	P53_HUMAN	Human	Homo sapiens	393	7467	yes
P53_HUMAN_Giacomelli_2018_WT_Nutlin	P53_HUMAN	Human	Homo sapiens	393	7467	yes
P53_HUMAN_Kotler_2018	P53_HUMAN	Human	Homo sapiens	393	1048	yes
PAI1_HUMAN_Huttinger_2021	PAI1_HUMAN	Human	Homo sapiens	402	5345	no
PTEN_HUMAN_Matreyek_2021	PTEN_HUMAN	Human	Homo sapiens	403	5083	no
PTEN_HUMAN_Mighell_2018	PTEN_HUMAN	Human	Homo sapiens	403	7260	no
ADRB2_HUMAN_Jones_2020	ADRB2_HUMAN	Human	Homo sapiens	413	7800	no
TADBP_HUMAN_Bolognesi_2019	TADBP_HUMAN	Human	Homo sapiens	414	1196	no
KCNJ2_MOUSE_Coyote-Maestas_2022_function	KCNJ2_MOUSE	Eukaryote	Mus musculus	428	6963	no
KCNJ2_MOUSE_Coyote-Maestas_2022_surface	KCNJ2_MOUSE	Eukaryote	Mus musculus	428	6917	no
LGK_LIPST_Klesmith_2015	LGK_LIPST	Eukaryote	Lipomyces starkeyi	439	7890	no
GDIA_HUMAN_Silverstein_2021	GDIA_HUMAN	Human	Homo sapiens	447	1154	no
SPG1_STRSG_Olson_2014	SPG1_STRSG	Prokaryote	Streptococcus sp. group G	448	1045	no
SPG1_STRSG_Wu_2016	SPG1_STRSG	Prokaryote	Streptococcus sp. group G	448	76	no
NRAM_I33A0_Jiang_2016	NRAM_I33A0	Virus	Influenza A virus (strain A/Wilson-Smith	453	298	no
HXK4_HUMAN_Gersing_2022_activity	HXK4_HUMAN	Human	Homo sapiens	465	8570	no
HXK4_HUMAN_Gersing_2023_abundance	HXK4_HUMAN	Human	Homo sapiens	465	8396	no
PRKN_HUMAN_Clausen_2023	PRKN_HUMAN	Human	Homo sapiens	465	8756	no
CP2C9_HUMAN_Amorosi_2021_abundance	CP2C9_HUMAN	Human	Homo sapiens	490	6370	no
CP2C9_HUMAN_Amorosi_2021_activity	CP2C9_HUMAN	Human	Homo sapiens	490	6142	no
I6TAH8_I68A0_Doud_2015	I6TAH8_I68A0	Virus	Influenza A virus (strain A/Aichi/2/1968	498	9462	no
NCAP_I34A1_Doud_2015	NCAP_I34A1	Virus	Influenza A virus (strain A/Puerto Rico/	498	9462	no
Q59976_STRSQ_Romero_2015	Q59976_STRSQ	Prokaryote	Streptomyces sp	501	2999	no
YAP1_HUMAN_Araya_2012	YAP1_HUMAN	Human	Homo sapiens	504	362	no
PPARG_HUMAN_Majithia_2016	PPARG_HUMAN	Human	Homo sapiens	505	9576	no
SRC_HUMAN_Ahler_2019	SRC_HUMAN	Human	Homo sapiens	536	3372	no
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM	SRC_HUMAN	Human	Homo sapiens	536	3637	no
SRC_HUMAN_Nguyen_2022	SRC_HUMAN	Human	Homo sapiens	536	3366	no
CBS_HUMAN_Sun_2020	CBS_HUMAN	Human	Homo sapiens	551	7217	no
S22A1_HUMAN_Yee_2023_abundance	S22A1_HUMAN	Human	Homo sapiens	553	9803	no
S22A1_HUMAN_Yee_2023_activity	S22A1_HUMAN	Human	Homo sapiens	553	10094	no
CD19_HUMAN_Klesmith_2019_FMC_singles	CD19_HUMAN	Human	Homo sapiens	556	3761	no
A0A2Z5U3Z0_9INFA_Doud_2016	A0A2Z5U3Z0_9INFA	Virus	Influenza A virus (A/WSN/1933(H1N1))	565	10715	no
A0A2Z5U3Z0_9INFA_Wu_2014	A0A2Z5U3Z0_9INFA	Virus	Influenza A virus (A/WSN/1933(H1N1))	565	2350	no
C6KNH7_9INFA_Lee_2018	C6KNH7_9INFA	Virus	Influenza A virus (A/Perth/16/2009(H3N2)	566	10754	no
Q837P5_ENTFA_Meier_2023	Q837P5_ENTFA	Prokaryote	Enterococcus faecalis	571	747	no
PABP_YEAST_Melamed_2013	PABP_YEAST	Eukaryote	Saccharomyces cerevisiae	577	1187	no
SHOC2_HUMAN_Kwon_2022	SHOC2_HUMAN	Human	Homo sapiens	582	10972	no
Q837P4_ENTFA_Meier_2023	Q837P4_ENTFA	Prokaryote	Enterococcus faecalis	589	697	no
PPM1D_HUMAN_Miller_2022	PPM1D_HUMAN	Human	Homo sapiens	605	7889	no
ANCSZ_Hobbs_2022	ANCSZ	Eukaryote	Reconstructed ancestor	627	4670	no
SC6A4_HUMAN_Young_2021	SC6A4_HUMAN	Human	Homo sapiens	630	11576	no
TPOR_HUMAN_Bridgford_2020	TPOR_HUMAN	Human	Homo sapiens	635	562	no
RAF1_HUMAN_Zinkus-Boltz_2019	RAF1_HUMAN	Human	Homo sapiens	648	297	no
MTHR_HUMAN_Weile_2021	MTHR_HUMAN	Human	Homo sapiens	656	12464	no
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2	HSP82_YEAST	Eukaryote	Saccharomyces cerevisiae	709	2252	no
HSP82_YEAST_Flynn_2019	HSP82_YEAST	Eukaryote	Saccharomyces cerevisiae	709	13294	no
HSP82_YEAST_Mishra_2016	HSP82_YEAST	Eukaryote	Saccharomyces cerevisiae	709	4323	no
PA_I34A1_Wu_2015	PA_I34A1	Virus	Influenza A virus (strain A/Puerto Rico/	716	1820	no
DLG4_HUMAN_Faure_2021	DLG4_HUMAN	Human	Homo sapiens	724	1280	no
DLG4_RAT_McLaughlin_2012	DLG4_RAT	Eukaryote	Rattus norvegicus	724	1576	no
CAPSD_AAV2S_Sinai_2021	CAPSD_AAV2S	Virus	Adeno-associated virus 2 (isolate Srivas	735	532	no
RDRP_I33A0_Li_2023	RDRP_I33A0	Virus	Influenza A virus (strain A/Wilson-Smith	757	12003	no
A4D664_9INFA_Soh_2019	A4D664_9INFA	Virus	Influenza A virus (A/green-winged teal/O	759	14421	no
A4_HUMAN_Seuma_2022	A4_HUMAN	Human	Homo sapiens	770	796	no
ACE2_HUMAN_Chan_2020	ACE2_HUMAN	Human	Homo sapiens	805	2223	no
A0A192B1T2_9HIV1_Haddox_2018	A0A192B1T2_9HIV1	Virus	Human immunodeficiency virus 1	852	12577	no
ENV_HV1B9_DuenasDecamp_2016	ENV_HV1B9	Virus	Human immunodeficiency virus type 1 grou	853	375	no
Q2N0S5_9HIV1_Haddox_2018	Q2N0S5_9HIV1	Virus	Human immunodeficiency virus 1	860	12729	no
ENV_HV1BR_Haddox_2016	ENV_HV1BR	Virus	Human immunodeficiency virus type 1 grou	861	12863	no
GAL4_YEAST_Kitzman_2015	GAL4_YEAST	Eukaryote	Saccharomyces cerevisiae	881	1195	no
HMDH_HUMAN_Jiang_2019	HMDH_HUMAN	Human	Homo sapiens	888	16853	no
POLG_DEN26_Suphatrakul_2023	POLG_DEN26	Virus	Dengue virus type 2 (strain Thailand/166	900	16897	no
MSH2_HUMAN_Jia_2020	MSH2_HUMAN	Human	Homo sapiens	934	16749	no
CAR11_HUMAN_Meitlis_2020_gof	CAR11_HUMAN	Human	Homo sapiens	1154	2374	no
CAR11_HUMAN_Meitlis_2020_lof	CAR11_HUMAN	Human	Homo sapiens	1154	2395	no
KCNH2_HUMAN_Kozek_2020	KCNH2_HUMAN	Human	Homo sapiens	1159	200	no
UBE4B_MOUSE_Starita_2013	UBE4B_MOUSE	Eukaryote	Mus musculus	1173	899	no
ERBB2_HUMAN_Elazar_2016	ERBB2_HUMAN	Human	Homo sapiens	1255	326	no
SPIKE_SARS2_Starr_2020_binding	SPIKE_SARS2	Virus	Severe acute respiratory syndrome corona	1273	3802	no
SPIKE_SARS2_Starr_2020_expression	SPIKE_SARS2	Virus	Severe acute respiratory syndrome corona	1273	3798	no
NPC1_HUMAN_Erwood_2022_HEK293T	NPC1_HUMAN	Human	Homo sapiens	1278	637	no
NPC1_HUMAN_Erwood_2022_RPE1	NPC1_HUMAN	Human	Homo sapiens	1278	63	no
CAS9_STRP1_Spencer_2017_positive	CAS9_STRP1	Prokaryote	Streptococcus pyogenes	1368	8117	no
BRCA1_HUMAN_Findlay_2018	BRCA1_HUMAN	Human	Homo sapiens	1863	1837	no
SCN5A_HUMAN_Glazer_2019	SCN5A_HUMAN	Human	Homo sapiens	2016	224	no
POLG_CXB3N_Mattenberger_2021	POLG_CXB3N	Virus	Coxsackievirus B3 (strain Nancy)	2185	15711	no
POLG_HCVJF_Qi_2014	POLG_HCVJF	Virus	Hepatitis C virus genotype 2a (isolate J	3033	1630	no
BRCA2_HUMAN_Erwood_2022_HEK293T	BRCA2_HUMAN	Human	Homo sapiens	3418	265	no
A0A140D2T1_ZIKV_Sourisseau_2019	A0A140D2T1_ZIKV	Virus	Zika virus (ZIKV)	3423	9576	no
